image_id,img_path,seg_path,class,prompt,dataset_split,llava_prompt
ISIC_0012090,/root/autodl-tmp/data/ISIC2017/input/img_class/bkl/ISIC_0012090.jpg,/root/autodl-tmp/data/ISIC2017/input/seg_class/bkl/ISIC_0012090_segmentation.png,bkl,An image of a skin area with benign keratosis-like lesions.,train,"The dermoscopic image shows a benign keratosis-like lesion. The lesion appears to be a well-defined, slightly raised, and scaly area on the skin. It has a brownish color and a wart-like structure. The border of the lesion is irregular, and it lacks symmetry. Additionally, there are no notable patterns observed in the image."
ISIC_0012103,/root/autodl-tmp/data/ISIC2017/input/img_class/bkl/ISIC_0012103.jpg,/root/autodl-tmp/data/ISIC2017/input/seg_class/bkl/ISIC_0012103_segmentation.png,bkl,An image of a skin area with benign keratosis-like lesions.,train,"This dermoscopic image shows a benign keratosis-like lesion. The lesion appears to be a well-defined, slightly raised, and scaly area on the skin. It has a brownish color and a warty structure. The border of the lesion is irregular, and it lacks symmetry. Additionally, there are no notable patterns observed in the image."
ISIC_0012117,/root/autodl-tmp/data/ISIC2017/input/img_class/bkl/ISIC_0012117.jpg,/root/autodl-tmp/data/ISIC2017/input/seg_class/bkl/ISIC_0012117_segmentation.png,bkl,An image of a skin area with benign keratosis-like lesions.,train,"The dermoscopic image shows a benign keratosis-like lesion. The lesion appears to be well-defined, with a color that is not specified in the provided information. The structure of the lesion is not explicitly mentioned, but it is described as having a benign keratosis-like appearance. The border of the lesion is likely well-defined, and the symmetry is not specified. The notable patterns mentioned are the ""starfield"" pattern and the ""comedo-open ring"" pattern. These patterns are often seen in certain types of benign keratoses."
ISIC_0012155,/root/autodl-tmp/data/ISIC2017/input/img_class/bkl/ISIC_0012155.jpg,/root/autodl-tmp/data/ISIC2017/input/seg_class/bkl/ISIC_0012155_segmentation.png,bkl,An image of a skin area with benign keratosis-like lesions.,train,"The dermoscopic image shows a benign keratosis-like lesion. The lesion appears to be a well-defined, round, and slightly raised area with a brownish color. It has a central depression and a slightly irregular border. The lesion is asymmetrical and has a reticular pattern, which is a network-like pattern."
ISIC_0012170,/root/autodl-tmp/data/ISIC2017/input/img_class/bkl/ISIC_0012170.jpg,/root/autodl-tmp/data/ISIC2017/input/seg_class/bkl/ISIC_0012170_segmentation.png,bkl,An image of a skin area with benign keratosis-like lesions.,train,"This dermoscopic image shows a benign keratosis-like lesion. The lesion appears to be well-defined, with a color and structure that resemble a keratosis. The border of the lesion is likely well-defined, and it may exhibit some symmetry. There might be notable patterns or features that can help differentiate it from other types of lesions. However, it is important to note that a definitive diagnosis should be made by a healthcare professional after considering the patient's clinical history and other diagnostic tests."
ISIC_0012172,/root/autodl-tmp/data/ISIC2017/input/img_class/bkl/ISIC_0012172.jpg,/root/autodl-tmp/data/ISIC2017/input/seg_class/bkl/ISIC_0012172_segmentation.png,bkl,An image of a skin area with benign keratosis-like lesions.,train,"The dermoscopic image shows a keratosis-like lesion, which is a benign skin growth. The lesion appears to be a well-defined, round, and slightly raised structure with a slightly irregular border. It has a homogeneous color and a symmetrical structure. The lesion does not show any notable patterns, which is consistent with a benign keratosis."
ISIC_0012173,/root/autodl-tmp/data/ISIC2017/input/img_class/bkl/ISIC_0012173.jpg,/root/autodl-tmp/data/ISIC2017/input/seg_class/bkl/ISIC_0012173_segmentation.png,bkl,An image of a skin area with benign keratosis-like lesions.,train,"The dermoscopic image shows a benign keratosis-like lesion. The lesion appears to be a well-defined, round, and slightly elevated area with a brownish color. It has a warty structure and a regular border. The lesion is symmetric and has a reticular pattern, which is a network-like pattern."
ISIC_0012183,/root/autodl-tmp/data/ISIC2017/input/img_class/bkl/ISIC_0012183.jpg,/root/autodl-tmp/data/ISIC2017/input/seg_class/bkl/ISIC_0012183_segmentation.png,bkl,An image of a skin area with benign keratosis-like lesions.,train,"The dermoscopic image shows a benign keratosis-like lesion. The lesion appears to be a well-defined, slightly raised, and asymmetrical structure with a brownish color. It has a warty surface and a slightly irregular border. The lesion is symmetric and has a reticular pattern, which is a network-like pattern."
ISIC_0012214,/root/autodl-tmp/data/ISIC2017/input/img_class/bkl/ISIC_0012214.jpg,/root/autodl-tmp/data/ISIC2017/input/seg_class/bkl/ISIC_0012214_segmentation.png,bkl,An image of a skin area with benign keratosis-like lesions.,train,"The dermoscopic image shows a benign keratosis-like lesion. The lesion appears to be a well-defined, round, and slightly elevated area with a brownish color. It has a warty structure and a slightly irregular border. The lesion is asymmetrical and has a reticular pattern, which is a network-like pattern."
ISIC_0012217,/root/autodl-tmp/data/ISIC2017/input/img_class/bkl/ISIC_0012217.jpg,/root/autodl-tmp/data/ISIC2017/input/seg_class/bkl/ISIC_0012217_segmentation.png,bkl,An image of a skin area with benign keratosis-like lesions.,train,"The dermoscopic image shows a benign keratosis-like lesion. The lesion appears to be well-defined, with a color that is not specified. The structure of the lesion is described as a papule, which is a small, raised skin lesion. The border of the lesion is described as regular, and it is symmetric. The lesion does not show any notable patterns."
ISIC_0012224,/root/autodl-tmp/data/ISIC2017/input/img_class/bkl/ISIC_0012224.jpg,/root/autodl-tmp/data/ISIC2017/input/seg_class/bkl/ISIC_0012224_segmentation.png,bkl,An image of a skin area with benign keratosis-like lesions.,train,"The dermoscopic image shows a benign keratosis-like lesion. The lesion appears to be a well-defined, round, and slightly raised area with a light brown color. It has a warty structure, a regular border, and a symmetrical appearance. The lesion also exhibits a reticular pattern, which is a network-like pattern often seen in certain skin conditions."
ISIC_0012227,/root/autodl-tmp/data/ISIC2017/input/img_class/bkl/ISIC_0012227.jpg,/root/autodl-tmp/data/ISIC2017/input/seg_class/bkl/ISIC_0012227_segmentation.png,bkl,An image of a skin area with benign keratosis-like lesions.,train,"The dermoscopic image shows a benign keratosis-like lesion. The lesion appears to be a well-defined, round, and slightly raised area with a light brown color. It has a structure that resembles a keratosis, which is a benign skin growth. The border of the lesion is well-defined, and it shows a symmetrical pattern. There are no notable patterns observed in the image."
ISIC_0012237,/root/autodl-tmp/data/ISIC2017/input/img_class/bkl/ISIC_0012237.jpg,/root/autodl-tmp/data/ISIC2017/input/seg_class/bkl/ISIC_0012237_segmentation.png,bkl,An image of a skin area with benign keratosis-like lesions.,train,"The dermoscopic image shows a benign keratosis-like lesion. The lesion appears to be a well-defined, round, and symmetric structure with a brown color. It has a warty or papillary structure, which means it has a rough, bumpy, or finger-like appearance. The border of the lesion is well-defined, and there are no notable patterns observed in the image."
ISIC_0012238,/root/autodl-tmp/data/ISIC2017/input/img_class/bkl/ISIC_0012238.jpg,/root/autodl-tmp/data/ISIC2017/input/seg_class/bkl/ISIC_0012238_segmentation.png,bkl,An image of a skin area with benign keratosis-like lesions.,train,"The dermoscopic image shows a benign keratosis-like lesion. The lesion appears to be well-defined, with a color that is consistent with the patient's skin tone. The structure of the lesion is described as a papule, which is a small, raised skin lesion. The border of the lesion is described as well-defined, and the symmetry is described as asymmetric. The notable pattern mentioned is the presence of a central depression."
