image_id,img_path,seg_path,class,prompt,dataset_split,llava_prompt
ISIC_0000002,/root/autodl-tmp/data/ISIC2017/input/img_class/mel/ISIC_0000002.jpg,/root/autodl-tmp/data/ISIC2017/input/seg_class/mel/ISIC_0000002_segmentation.png,mel,An image of a skin area with melanoma.,train,"The dermoscopic image shows a melanoma, which is a type of skin cancer. The lesion appears to be asymmetrical, with an irregular border and a non-uniform structure. The color of the lesion is not specified, but it is important to note that melanomas can have various colors and patterns. The image is taken from a patient with unknown age and skin tone, and the lesion is located at an unspecified location."
ISIC_0000004,/root/autodl-tmp/data/ISIC2017/input/img_class/mel/ISIC_0000004.jpg,/root/autodl-tmp/data/ISIC2017/input/seg_class/mel/ISIC_0000004_segmentation.png,mel,An image of a skin area with melanoma.,train,"The dermoscopic image shows a melanoma, which is a type of skin cancer. The lesion appears to be asymmetrical, with an irregular border and a variegated color. The structure of the lesion is described as a globular structure with a central depression. The border is described as poorly defined, and the lesion shows a lack of symmetry. Additionally, there are notable patterns such as a ""star sign"" and ""blue-gray dots."" These features are characteristic of melanoma and can help healthcare professionals in diagnosing the condition."
ISIC_0000013,/root/autodl-tmp/data/ISIC2017/input/img_class/mel/ISIC_0000013.jpg,/root/autodl-tmp/data/ISIC2017/input/seg_class/mel/ISIC_0000013_segmentation.png,mel,An image of a skin area with melanoma.,train,"The dermoscopic image shows a melanoma, which is a type of skin cancer. The lesion appears to be asymmetrical, with an irregular border and a mixed color pattern. The image also mentions the presence of a ""dot in a circle"" pattern, which is a notable feature in this case."
ISIC_0000022,/root/autodl-tmp/data/ISIC2017/input/img_class/mel/ISIC_0000022.jpg,/root/autodl-tmp/data/ISIC2017/input/seg_class/mel/ISIC_0000022_segmentation.png,mel,An image of a skin area with melanoma.,train,"The dermoscopic image shows a melanoma, which is a malignant skin lesion. The lesion appears to have a color, structure, border, symmetry, and notable patterns that are characteristic of melanoma. However, without more specific information about the patient's skin tone and the exact location of the lesion, it is difficult to provide further details."
ISIC_0000026,/root/autodl-tmp/data/ISIC2017/input/img_class/mel/ISIC_0000026.jpg,/root/autodl-tmp/data/ISIC2017/input/seg_class/mel/ISIC_0000026_segmentation.png,mel,An image of a skin area with melanoma.,train,"The dermoscopic image shows a melanoma, which is a malignant skin lesion. The image is taken from an unknown patient, of unknown age, and the location is unspecified. The lesion appears to have a color, structure, border, symmetry, and notable patterns that are characteristic of melanoma. It is important to note that the image is for educational purposes and should not be used for diagnosis or treatment."
ISIC_0000029,/root/autodl-tmp/data/ISIC2017/input/img_class/mel/ISIC_0000029.jpg,/root/autodl-tmp/data/ISIC2017/input/seg_class/mel/ISIC_0000029_segmentation.png,mel,An image of a skin area with melanoma.,train,"The dermoscopic image shows a lesion with a color, structure, border, symmetry, and notable patterns that are consistent with a diagnosis of melanoma. Melanoma is a type of skin cancer that develops from the pigment-producing cells called melanocytes. It is important to consult a healthcare professional for further evaluation and appropriate treatment."
ISIC_0000030,/root/autodl-tmp/data/ISIC2017/input/img_class/mel/ISIC_0000030.jpg,/root/autodl-tmp/data/ISIC2017/input/seg_class/mel/ISIC_0000030_segmentation.png,mel,An image of a skin area with melanoma.,train,"The dermoscopic image shows a melanoma, which is a type of skin cancer. The lesion appears to have a color, structure, border, symmetry, and notable patterns. However, without more specific information, it is difficult to provide further details about the lesion's appearance."
ISIC_0000031,/root/autodl-tmp/data/ISIC2017/input/img_class/mel/ISIC_0000031.jpg,/root/autodl-tmp/data/ISIC2017/input/seg_class/mel/ISIC_0000031_segmentation.png,mel,An image of a skin area with melanoma.,train,"The dermoscopic image shows a melanoma, which is a malignant skin lesion. The lesion appears to have a color, structure, border, symmetry, and notable patterns. However, without more specific information about the lesion's appearance and the patient's skin tone, it is difficult to provide further details."
ISIC_0000035,/root/autodl-tmp/data/ISIC2017/input/img_class/mel/ISIC_0000035.jpg,/root/autodl-tmp/data/ISIC2017/input/seg_class/mel/ISIC_0000035_segmentation.png,mel,An image of a skin area with melanoma.,train,"The dermoscopic image shows a melanoma, which is a type of skin cancer. The lesion appears to be asymmetrical, with an irregular border and a mixed color pattern. The image also mentions the presence of a ""dot in a circle"" pattern, which is a notable feature often seen in melanomas."
ISIC_0000036,/root/autodl-tmp/data/ISIC2017/input/img_class/mel/ISIC_0000036.jpg,/root/autodl-tmp/data/ISIC2017/input/seg_class/mel/ISIC_0000036_segmentation.png,mel,An image of a skin area with melanoma.,train,"The dermoscopic image shows a lesion with a color, structure, border, symmetry, and notable patterns that are consistent with melanoma. Melanoma is a type of skin cancer that develops from the pigment-producing cells called melanocytes. It is important to note that a healthcare professional should be consulted for a proper diagnosis and treatment plan."
ISIC_0000040,/root/autodl-tmp/data/ISIC2017/input/img_class/mel/ISIC_0000040.jpg,/root/autodl-tmp/data/ISIC2017/input/seg_class/mel/ISIC_0000040_segmentation.png,mel,An image of a skin area with melanoma.,train,"The dermoscopic image shows a melanoma, which is a malignant skin lesion. The lesion appears to have a color, structure, border, symmetry, and notable patterns. However, without more specific information, it is difficult to provide further details about the lesion's appearance."
ISIC_0000043,/root/autodl-tmp/data/ISIC2017/input/img_class/mel/ISIC_0000043.jpg,/root/autodl-tmp/data/ISIC2017/input/seg_class/mel/ISIC_0000043_segmentation.png,mel,An image of a skin area with melanoma.,train,"The dermoscopic image shows a melanoma, which is a type of skin cancer. The lesion appears to be asymmetrical, with an irregular border. It is described as having a ""globular"" structure, which means it has a rounded or spherical shape. The lesion is also described as having a ""variegated"" color, which means it has a mix of different colors. The image also mentions the presence of ""blue-gray dots"" and ""pseudonetting,"" which are notable patterns often seen in melanoma."
ISIC_0000046,/root/autodl-tmp/data/ISIC2017/input/img_class/mel/ISIC_0000046.jpg,/root/autodl-tmp/data/ISIC2017/input/seg_class/mel/ISIC_0000046_segmentation.png,mel,An image of a skin area with melanoma.,train,"The dermoscopic image shows a melanoma, which is a type of skin cancer. The lesion appears to be asymmetrical, with an irregular border. It has a mixed color, including shades of brown and black, and a globular structure. The lesion also exhibits a ""salt and pepper"" pattern, which is a notable feature often seen in melanomas."
ISIC_0000049,/root/autodl-tmp/data/ISIC2017/input/img_class/mel/ISIC_0000049.jpg,/root/autodl-tmp/data/ISIC2017/input/seg_class/mel/ISIC_0000049_segmentation.png,mel,An image of a skin area with melanoma.,train,"The dermoscopic image shows a melanoma, which is a type of skin cancer. The lesion appears to have a mixed color, including shades of brown, black, and red. The structure of the lesion is irregular, and it has an asymmetrical border. The lesion also shows a lack of symmetry and has a notable pattern called ""pigmented network."" These features are characteristic of melanoma and can help healthcare professionals in diagnosing the condition."
ISIC_0000054,/root/autodl-tmp/data/ISIC2017/input/img_class/mel/ISIC_0000054.jpg,/root/autodl-tmp/data/ISIC2017/input/seg_class/mel/ISIC_0000054_segmentation.png,mel,An image of a skin area with melanoma.,train,"The dermoscopic image shows a melanoma, which is a type of skin cancer. The lesion appears to have an irregular border and a mixed color pattern. The structure of the lesion is asymmetric, and it has a globular structure. Additionally, there are notable patterns such as a central depression and a peripheral palisading pattern. These features are characteristic of melanoma and can help healthcare professionals in diagnosing the condition."
