group,root,cls,expected,images,masks,status
A,/root/autodl-tmp/output/ablation_complete/A,akiec,1500,1500,1500,ok
A,/root/autodl-tmp/output/ablation_complete/A,bcc,1500,1500,1500,ok
A,/root/autodl-tmp/output/ablation_complete/A,bkl,500,500,500,ok
A,/root/autodl-tmp/output/ablation_complete/A,df,1500,1500,1500,ok
A,/root/autodl-tmp/output/ablation_complete/A,mel,500,500,500,ok
A,/root/autodl-tmp/output/ablation_complete/A,nv,500,500,500,ok
A,/root/autodl-tmp/output/ablation_complete/A,vasc,1500,1500,1500,ok
B,/root/autodl-tmp/output/ablation_complete/B,akiec,1500,1500,1500,ok
B,/root/autodl-tmp/output/ablation_complete/B,bcc,1500,1500,1500,ok
B,/root/autodl-tmp/output/ablation_complete/B,bkl,500,500,500,ok
B,/root/autodl-tmp/output/ablation_complete/B,df,1500,1500,1500,ok
B,/root/autodl-tmp/output/ablation_complete/B,mel,500,500,500,ok
B,/root/autodl-tmp/output/ablation_complete/B,nv,500,500,500,ok
B,/root/autodl-tmp/output/ablation_complete/B,vasc,1500,1500,1500,ok
C,/root/autodl-tmp/output/ablation_complete/C,akiec,1500,1500,1500,ok
C,/root/autodl-tmp/output/ablation_complete/C,bcc,1500,1500,1500,ok
C,/root/autodl-tmp/output/ablation_complete/C,bkl,500,500,500,ok
C,/root/autodl-tmp/output/ablation_complete/C,df,1500,1500,1500,ok
C,/root/autodl-tmp/output/ablation_complete/C,mel,500,500,500,ok
C,/root/autodl-tmp/output/ablation_complete/C,nv,500,500,500,ok
C,/root/autodl-tmp/output/ablation_complete/C,vasc,1500,1500,1500,ok
D,/root/autodl-tmp/output/ablation_complete/D,akiec,1500,1500,1500,ok
D,/root/autodl-tmp/output/ablation_complete/D,bcc,1500,1500,1500,ok
D,/root/autodl-tmp/output/ablation_complete/D,bkl,500,500,500,ok
D,/root/autodl-tmp/output/ablation_complete/D,df,1500,1500,1500,ok
D,/root/autodl-tmp/output/ablation_complete/D,mel,500,500,500,ok
D,/root/autodl-tmp/output/ablation_complete/D,nv,500,500,500,ok
D,/root/autodl-tmp/output/ablation_complete/D,vasc,1500,1500,1500,ok
E,/root/autodl-tmp/output/ablation_complete/E,akiec,1500,1500,1500,ok
E,/root/autodl-tmp/output/ablation_complete/E,bcc,1500,1500,1500,ok
E,/root/autodl-tmp/output/ablation_complete/E,bkl,500,500,500,ok
E,/root/autodl-tmp/output/ablation_complete/E,df,1500,1500,1500,ok
E,/root/autodl-tmp/output/ablation_complete/E,mel,500,500,500,ok
E,/root/autodl-tmp/output/ablation_complete/E,nv,500,500,500,ok
E,/root/autodl-tmp/output/ablation_complete/E,vasc,1500,1500,1500,ok
F,/root/autodl-tmp/output/ablation_complete/F,akiec,1500,1500,1500,ok
F,/root/autodl-tmp/output/ablation_complete/F,bcc,1500,1500,1500,ok
F,/root/autodl-tmp/output/ablation_complete/F,bkl,500,500,500,ok
F,/root/autodl-tmp/output/ablation_complete/F,df,1500,1500,1500,ok
F,/root/autodl-tmp/output/ablation_complete/F,mel,500,500,500,ok
F,/root/autodl-tmp/output/ablation_complete/F,nv,500,500,500,ok
F,/root/autodl-tmp/output/ablation_complete/F,vasc,1500,1500,1500,ok
G,/root/autodl-tmp/output/ablation_complete/G,akiec,1500,1500,1500,ok
G,/root/autodl-tmp/output/ablation_complete/G,bcc,1500,1500,1500,ok
G,/root/autodl-tmp/output/ablation_complete/G,bkl,500,500,500,ok
G,/root/autodl-tmp/output/ablation_complete/G,df,1500,1500,1500,ok
G,/root/autodl-tmp/output/ablation_complete/G,mel,500,500,500,ok
G,/root/autodl-tmp/output/ablation_complete/G,nv,500,500,500,ok
G,/root/autodl-tmp/output/ablation_complete/G,vasc,1500,1500,1500,ok
H,/root/autodl-tmp/output/ablation_complete/H,akiec,1500,1500,1500,ok
H,/root/autodl-tmp/output/ablation_complete/H,bcc,1500,1500,1500,ok
H,/root/autodl-tmp/output/ablation_complete/H,bkl,500,500,500,ok
H,/root/autodl-tmp/output/ablation_complete/H,df,1500,1500,1500,ok
H,/root/autodl-tmp/output/ablation_complete/H,mel,500,500,500,ok
H,/root/autodl-tmp/output/ablation_complete/H,nv,500,500,500,ok
H,/root/autodl-tmp/output/ablation_complete/H,vasc,1500,1500,1500,ok
I,/root/autodl-tmp/output/ablation_complete/I,akiec,1500,1500,1500,ok
I,/root/autodl-tmp/output/ablation_complete/I,bcc,1500,1500,1500,ok
I,/root/autodl-tmp/output/ablation_complete/I,bkl,500,500,500,ok
I,/root/autodl-tmp/output/ablation_complete/I,df,1500,1500,1500,ok
I,/root/autodl-tmp/output/ablation_complete/I,mel,500,500,500,ok
I,/root/autodl-tmp/output/ablation_complete/I,nv,500,500,500,ok
I,/root/autodl-tmp/output/ablation_complete/I,vasc,1500,1500,1500,ok
